row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
1,ORD-2026-06-24-1,6/24/2026,6/27/2026,Second Class,CUST-2648,Customer 1,Corporate,United States,Los Angeles,California,48566,Central,PROD-1759,Furniture,Binders,Product 60,1953.47,2,1.78,-113.33
2,ORD-2026-06-24-2,6/24/2026,6/25/2026,Second Class,CUST-9044,Customer 2,Corporate,United States,Chicago,Illinois,66661,Central,PROD-2106,Furniture,Binders,Product 68,1617.02,2,1.17,-219.16
3,ORD-2026-06-24-3,6/24/2026,7/1/2026,Same Day,CUST-5098,Customer 3,Corporate,United States,Los Angeles,California,12714,East,PROD-4981,Technology,Tables,Product 71,201.91,-2,0.0,-15.75
4,ORD-2026-06-24-4,6/24/2026,6/25/2026,First Class,CUST-4942,Customer 4,Consumer,United States,Seattle,Washington,45011,East,PROD-3758,Technology,Chairs,Product 48,-473.24,3,0.1,-44.2
5,ORD-2026-06-24-5,6/24/2026,6/22/2026,Same Day,CUST-2128,Customer 5,Corporate,United States,Seattle,Washington,47563,West,PROD-2151,Technology,Storage,Product 7,729.76,7,0.1,-37.95
6,ORD-2026-06-24-6,6/24/2026,6/26/2026,Same Day,CUST-9625,Customer 6,Corporate,United States,Seattle,Washington,30907,Central,PROD-5016,Office Supplies,Binders,Product 38,1007.54,4,0.0,282.69
7,ORD-2026-06-24-7,6/24/2026,6/29/2026,Standard Class,CUST-8288,Customer 7,Corporate,United States,Seattle,Washington,88915,South,PROD-9652,Technology,Tables,Product 39,672.02,3,0.0,151.55
8,ORD-2026-06-24-8,6/24/2026,6/27/2026,First Class,CUST-2087,Customer 8,Corporate,United States,Los Angeles,California,79915,South,PROD-8089,Technology,Phones,Product 20,1340.92,9,0.1,-155.35
9,ORD-2026-06-24-9,6/24/2026,6/28/2026,First Class,CUST-9364,Customer 9,Corporate,United States,New York,New York,60686,South,PROD-9023,Technology,Tables,Product 17,359.39,9,0.4,27.57
10,ORD-2026-06-24-10,6/24/2026,6/25/2026,Standard Class,CUST-5219,Customer 10,Consumer,United States,Los Angeles,California,30263,East,PROD-4043,Furniture,Phones,Product 47,505.2,2,0.1,-84.16
11,ORD-2026-06-24-11,6/24/2026,6/26/2026,Second Class,CUST-3794,Customer 11,Consumer,United States,New York,New York,42558,West,PROD-4984,Office Supplies,Binders,Product 92,249.73,3,0.1,70.0
