row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
1,ORD-2026-07-04-1,7/4/2026,7/7/2026,Same Day,CUST-3417,Customer 1,Home Office,United States,Chicago,Illinois,42851,South,PROD-9547,Technology,Chairs,Product 17,1152.89,8,1.49,222.96
2,ORD-2026-07-04-2,7/4/2026,7/10/2026,Second Class,CUST-5351,Customer 2,Consumer,United States,Chicago,Illinois,58641,West,PROD-4524,Office Supplies,Chairs,Product 65,-263.46,2,0.0,-28.79
3,ORD-2026-07-04-3,7/4/2026,7/2/2026,First Class,CUST-9565,Customer 3,Corporate,United States,New York,New York,60226,Central,PROD-6858,Furniture,Phones,Product 49,1752.78,6,0.2,143.12
4,ORD-2026-07-04-4,7/4/2026,7/10/2026,First Class,CUST-6217,Customer 4,Corporate,United States,Houston,Texas,21875,Central,PROD-5991,Furniture,Storage,Product 84,-216.97,4,0.0,-85.59
5,ORD-2026-07-04-5,7/4/2026,7/2/2026,Standard Class,CUST-5833,Customer 5,Corporate,United States,Houston,Texas,33744,West,PROD-4952,Technology,Tables,Product 52,792.48,5,0.2,-75.34
6,ORD-2026-07-04-6,7/4/2026,7/9/2026,Same Day,CUST-8392,Customer 6,Corporate,United States,Los Angeles,California,36562,East,PROD-9713,Technology,Tables,Product 37,593.43,2,0.0,-27.32
7,ORD-2026-07-04-7,7/4/2026,7/6/2026,Same Day,CUST-3597,Customer 7,Home Office,United States,Seattle,Washington,87600,South,PROD-8195,Furniture,Chairs,Product 87,1289.95,5,0.4,291.12
8,ORD-2026-07-04-8,7/4/2026,7/10/2026,Second Class,CUST-9786,Customer 8,Corporate,United States,Los Angeles,California,42762,Central,PROD-9763,Furniture,Binders,Product 49,740.29,9,0.1,-62.47
9,ORD-2026-07-04-9,7/4/2026,7/8/2026,First Class,CUST-4842,Customer 9,Corporate,United States,Houston,Texas,75617,West,PROD-5616,Furniture,Chairs,Product 84,1226.34,2,0.1,255.25
10,ORD-2026-07-04-10,7/4/2026,7/7/2026,Same Day,CUST-5746,Customer 10,Home Office,United States,Chicago,Illinois,72902,South,PROD-2777,Furniture,Binders,Product 11,1122.75,10,0.4,325.27
11,ORD-2026-07-04-11,7/4/2026,7/9/2026,First Class,CUST-5547,Customer 11,Corporate,United States,Seattle,Washington,37073,South,PROD-2356,Furniture,Storage,Product 43,1881.47,8,0.3,207.2
12,ORD-2026-07-04-12,7/4/2026,7/9/2026,Second Class,CUST-7482,Customer 12,Corporate,United States,Houston,Texas,22455,South,PROD-2394,Technology,Chairs,Product 48,1238.32,1,0.1,-116.16
13,ORD-2026-07-04-13,7/4/2026,7/6/2026,Second Class,CUST-3134,Customer 13,Consumer,United States,Chicago,Illinois,54108,Central,PROD-4317,Furniture,Chairs,Product 72,1435.25,2,0.4,-238.34
14,ORD-2026-07-04-14,7/4/2026,7/10/2026,First Class,CUST-9825,Customer 14,Consumer,United States,Chicago,Illinois,57391,East,PROD-9210,Technology,Binders,Product 69,501.84,8,0.0,104.08
15,ORD-2026-07-04-15,7/4/2026,7/11/2026,First Class,CUST-7552,Customer 15,Corporate,United States,Seattle,Washington,70239,South,PROD-5224,Technology,Chairs,Product 98,1533.28,10,0.4,283.6
16,ORD-2026-07-04-16,7/4/2026,7/5/2026,Second Class,CUST-8354,Customer 16,Corporate,United States,Los Angeles,California,75531,Central,PROD-9453,Furniture,Storage,Product 95,1285.09,6,0.4,-180.93
17,ORD-2026-07-04-17,7/4/2026,7/11/2026,Standard Class,CUST-1973,Customer 17,Home Office,United States,Seattle,Washington,58318,East,PROD-5169,Furniture,Binders,Product 45,119.1,10,0.3,-18.22
18,ORD-2026-07-04-18,7/4/2026,7/6/2026,First Class,CUST-2850,Customer 18,Consumer,United States,New York,New York,91581,West,PROD-3879,Office Supplies,Storage,Product 52,1667.46,6,0.0,154.28
